R,P,T,L,seq,striped,refinable,tx
8,8,8,8,310.23,248.38,295.67,412.60,
8,8,8,16,306.74,231.76,321.79,640.82,
8,8,8,32,335.24,273.10,312.49,536.90,
8,8,16,8,466.14,390.67,221.83,470.43,
8,8,16,16,389.50,264.50,232.31,731.08,
8,8,16,32,461.60,277.46,203.83,582.32,
8,8,32,8,295.44,203.47,161.69,442.60,
8,8,32,16,315.39,213.22,172.45,404.08,
8,8,32,32,261.97,203.93,152.92,380.25,
8,16,8,8,256.41,249.06,243.85,393.33,
8,16,8,16,263.07,246.60,256.91,388.77,
8,16,8,32,301.43,245.89,193.79,480.50,
8,16,16,8,286.70,241.44,183.92,391.56,
8,16,16,16,272.05,228.09,184.52,382.56,
8,16,16,32,300.21,217.30,172.06,394.70,
8,16,32,8,256.06,206.63,157.43,396.07,
8,16,32,16,268.58,207.09,165.17,400.91,
8,16,32,32,268.45,209.67,162.85,394.45,
8,32,8,8,274.43,239.41,245.13,486.64,
8,32,8,16,293.01,275.46,273.37,467.71,
8,32,8,32,259.37,232.25,186.05,392.44,
8,32,16,8,282.71,235.15,246.07,399.15,
8,32,16,16,261.43,210.27,172.71,388.06,
8,32,16,32,258.82,209.44,160.55,396.48,
8,32,32,8,263.02,214.64,159.01,396.39,
8,32,32,16,280.13,210.24,160.69,395.86,
8,32,32,32,265.08,226.32,182.91,491.27,
16,8,8,8,293.15,241.57,273.61,413.62,
16,8,8,16,321.45,245.56,176.16,422.85,
16,8,8,32,270.33,244.35,266.68,407.04,
16,8,16,8,275.61,217.80,173.07,498.22,
16,8,16,16,283.58,216.61,173.36,410.86,
16,8,16,32,345.88,224.50,176.83,410.43,
16,8,32,8,279.34,209.21,158.94,482.83,
16,8,32,16,292.13,223.16,176.67,410.95,
16,8,32,32,275.12,211.91,164.83,447.88,
16,16,8,8,268.05,244.29,250.26,407.78,
16,16,8,16,316.25,267.80,281.18,419.09,
16,16,8,32,276.69,237.09,190.58,418.45,
16,16,16,8,305.83,222.72,178.01,427.62,
16,16,16,16,274.61,220.20,175.41,413.78,
16,16,16,32,294.54,233.20,196.77,518.31,
16,16,32,8,260.21,209.36,160.70,415.52,
16,16,32,16,290.25,212.16,160.69,415.73,
16,16,32,32,279.58,211.43,161.24,409.43,
16,32,8,8,265.53,239.74,249.42,415.38,
16,32,8,16,286.55,251.61,228.54,418.74,
16,32,8,32,288.21,238.71,187.67,411.65,
16,32,16,8,284.51,239.70,245.42,543.99,
16,32,16,16,298.86,235.06,163.09,412.85,
16,32,16,32,278.87,219.17,164.52,422.36,
16,32,32,8,279.00,230.90,164.97,438.82,
16,32,32,16,274.27,212.77,166.40,431.09,
16,32,32,32,309.44,215.42,162.14,449.92,
32,8,8,8,283.39,236.78,182.83,450.84,
32,8,8,16,262.45,250.17,280.46,434.89,
32,8,8,32,298.60,252.22,332.43,498.57,
32,8,16,8,300.64,223.70,180.74,464.18,
32,8,16,16,276.24,223.49,175.44,440.21,
32,8,16,32,267.13,231.43,175.53,506.32,
32,8,32,8,261.35,211.06,160.89,432.87,
32,8,32,16,273.98,221.42,161.48,426.95,
32,8,32,32,280.31,213.23,166.86,457.48,
32,16,8,8,288.13,268.71,270.26,495.25,
32,16,8,16,295.73,251.28,241.42,440.07,
32,16,8,32,270.26,234.22,187.66,445.35,
32,16,16,8,285.78,223.69,175.79,430.35,
32,16,16,16,270.64,219.92,176.31,490.85,
32,16,16,32,291.17,220.88,175.22,452.74,
32,16,32,8,262.17,214.53,162.33,424.46,
32,16,32,16,262.47,213.01,171.12,548.46,
32,16,32,32,281.38,233.21,160.29,428.51,
32,32,8,8,276.35,251.64,228.22,439.41,
32,32,8,16,278.89,253.15,259.05,430.63,
32,32,8,32,281.35,238.38,188.89,418.83,
32,32,16,8,272.75,239.23,229.95,431.85,
32,32,16,16,283.44,216.95,168.00,477.88,
32,32,16,32,283.27,217.57,166.64,507.47,
32,32,32,8,317.15,230.80,176.62,493.62,
32,32,32,16,267.21,215.40,160.14,468.16,
32,32,32,32,278.35,220.09,165.57,435.33,